staff_id,store_id,staff_name,role_name,email,joined_date,employment_status
STF00365,S0045,员工0365,客服,staff0365@example.invalid,2026-06-25,active
STF00366,S0046,员工0366,客服,staff0366@example.invalid,2023-09-23,active
STF00367,S0047,员工0367,客服,staff0367@example.invalid,2025-03-13,active
STF00368,S0048,员工0368,商品运营,staff0368@example.invalid,2025-08-31,active
STF00369,S0049,员工0369,活动运营,staff0369@example.invalid,2025-12-14,active
STF00370,S0050,员工0370,商品运营,staff0370@example.invalid,2024-03-28,active
STF00371,S0051,员工0371,商品运营,staff0371@example.invalid,2024-09-21,active
STF00372,S0052,员工0372,商品运营,staff0372@example.invalid,2026-02-14,active
STF00373,S0053,员工0373,活动运营,staff0373@example.invalid,2024-06-10,left
STF00374,S0054,员工0374,商品运营,staff0374@example.invalid,2025-10-13,active
STF00375,S0055,员工0375,店长,staff0375@example.invalid,2024-06-07,left
STF00376,S0056,员工0376,仓配协调,staff0376@example.invalid,2024-07-29,active
STF00377,S0057,员工0377,商品运营,staff0377@example.invalid,2025-11-26,active
STF00378,S0058,员工0378,客服,staff0378@example.invalid,2025-12-31,active
STF00379,S0059,员工0379,活动运营,staff0379@example.invalid,2026-01-17,active
STF00380,S0060,员工0380,商品运营,staff0380@example.invalid,2025-06-20,active
STF00381,S0061,员工0381,仓配协调,staff0381@example.invalid,2025-05-21,active
STF00382,S0062,员工0382,商品运营,staff0382@example.invalid,2023-08-21,active
STF00383,S0063,员工0383,商品运营,staff0383@example.invalid,2023-10-09,active
STF00384,S0064,员工0384,仓配协调,staff0384@example.invalid,2025-11-13,active
STF00385,S0065,员工0385,客服,staff0385@example.invalid,2025-03-04,active
STF00386,S0066,员工0386,商品运营,staff0386@example.invalid,2025-07-19,active
STF00387,S0067,员工0387,客服,staff0387@example.invalid,2024-02-14,active
STF00388,S0068,员工0388,活动运营,staff0388@example.invalid,2026-07-01,active
STF00389,S0069,员工0389,活动运营,staff0389@example.invalid,2024-03-28,active
STF00390,S0070,员工0390,仓配协调,staff0390@example.invalid,2025-05-24,active
STF00391,S0071,员工0391,商品运营,staff0391@example.invalid,2023-11-21,active
STF00392,S0072,员工0392,客服,staff0392@example.invalid,2025-01-16,active
STF00393,S0073,员工0393,仓配协调,staff0393@example.invalid,2025-04-30,active
STF00394,S0074,员工0394,客服,staff0394@example.invalid,2025-03-14,active
STF00395,S0075,员工0395,活动运营,staff0395@example.invalid,2024-12-20,active
STF00396,S0076,员工0396,客服,staff0396@example.invalid,2025-09-20,active
STF00397,S0077,员工0397,商品运营,staff0397@example.invalid,2025-03-21,active
STF00398,S0078,员工0398,客服,staff0398@example.invalid,2024-03-12,active
STF00399,S0079,员工0399,店长,staff0399@example.invalid,2023-10-16,active
STF00400,S0080,员工0400,仓配协调,staff0400@example.invalid,2026-01-26,active
